episode, score
1,53.3333333333
2,53.3333333333
3,46.6666666667
4,46.6666666667
5,73.3333333333
6,66.6666666667
7,60.0
8,53.3333333333
9,53.3333333333
10,60.0
11,73.3333333333
12,66.6666666667
13,53.3333333333
14,46.6666666667
15,26.6666666667
16,53.3333333333
17,46.6666666667
18,80.0
19,26.6666666667
20,46.6666666667
21,46.6666666667
22,53.3333333333
23,53.3333333333
24,46.6666666667
25,60.0
26,60.0
27,26.6666666667
28,73.3333333333
29,26.6666666667
30,53.3333333333
31,46.6666666667
32,53.3333333333
33,53.3333333333
34,60.0
35,53.3333333333
36,53.3333333333
37,53.3333333333
38,53.3333333333
39,26.6666666667
40,53.3333333333
41,53.3333333333
42,46.6666666667
43,60.0
44,46.6666666667
45,26.6666666667
46,26.6666666667
47,60.0
48,73.3333333333
49,53.3333333333
50,46.6666666667
51,80.0
52,60.0
53,66.6666666667
54,86.6666666667
55,73.3333333333
56,80.0
57,53.3333333333
58,60.0
59,26.6666666667
60,60.0
61,26.6666666667
62,60.0
63,53.3333333333
64,46.6666666667
65,60.0
66,53.3333333333
67,26.6666666667
68,53.3333333333
69,86.6666666667
70,46.6666666667
71,73.3333333333
72,66.6666666667
73,46.6666666667
74,53.3333333333
75,53.3333333333
76,73.3333333333
77,73.3333333333
78,60.0
79,26.6666666667
80,80.0
81,60.0
82,46.6666666667
83,66.6666666667
84,46.6666666667
85,46.6666666667
86,46.6666666667
87,53.3333333333
88,60.0
89,73.3333333333
90,46.6666666667
91,60.0
92,53.3333333333
93,66.6666666667
94,66.6666666667
95,53.3333333333
96,46.6666666667
97,26.6666666667
98,46.6666666667
99,73.3333333333
100,53.3333333333
101,53.3333333333
102,26.6666666667
103,60.0
104,60.0
105,86.6666666667
106,53.3333333333
107,46.6666666667
108,60.0
109,53.3333333333
110,46.6666666667
111,46.6666666667
112,46.6666666667
113,46.6666666667
114,46.6666666667
115,53.3333333333
116,73.3333333333
117,46.6666666667
118,46.6666666667
119,26.6666666667
120,46.6666666667
121,53.3333333333
122,46.6666666667
123,53.3333333333
124,53.3333333333
125,53.3333333333
126,46.6666666667
127,60.0
128,46.6666666667
129,26.6666666667
130,53.3333333333
131,53.3333333333
132,53.3333333333
133,73.3333333333
134,86.6666666667
135,53.3333333333
136,46.6666666667
137,53.3333333333
138,73.3333333333
139,53.3333333333
140,53.3333333333
141,60.0
142,46.6666666667
143,46.6666666667
144,46.6666666667
145,73.3333333333
146,60.0
147,60.0
148,46.6666666667
149,53.3333333333
150,53.3333333333
151,60.0
152,66.6666666667
153,53.3333333333
154,60.0
155,60.0
156,73.3333333333
157,46.6666666667
158,60.0
159,46.6666666667
160,46.6666666667
161,46.6666666667
162,46.6666666667
163,53.3333333333
164,46.6666666667
165,93.3333333333
166,60.0
167,26.6666666667
168,46.6666666667
169,53.3333333333
170,80.0
171,26.6666666667
172,73.3333333333
173,46.6666666667
174,53.3333333333
175,53.3333333333
176,66.6666666667
177,53.3333333333
178,73.3333333333
179,46.6666666667
180,53.3333333333
181,60.0
182,60.0
183,46.6666666667
184,46.6666666667
185,26.6666666667
186,53.3333333333
187,60.0
188,53.3333333333
189,60.0
190,46.6666666667
191,53.3333333333
192,60.0
193,53.3333333333
194,60.0
195,53.3333333333
196,66.6666666667
197,73.3333333333
198,46.6666666667
199,60.0
200,46.6666666667
201,53.3333333333
202,26.6666666667
203,46.6666666667
204,73.3333333333
205,53.3333333333
206,60.0
207,53.3333333333
208,53.3333333333
209,66.6666666667
210,73.3333333333
211,73.3333333333
212,26.6666666667
213,46.6666666667
214,86.6666666667
215,53.3333333333
216,26.6666666667
217,46.6666666667
218,46.6666666667
219,53.3333333333
220,60.0
221,26.6666666667
222,46.6666666667
223,60.0
224,53.3333333333
225,46.6666666667
226,93.3333333333
227,46.6666666667
228,53.3333333333
229,46.6666666667
230,60.0
231,73.3333333333
232,66.6666666667
233,46.6666666667
234,73.3333333333
235,46.6666666667
236,53.3333333333
237,73.3333333333
238,46.6666666667
239,73.3333333333
240,60.0
241,46.6666666667
242,60.0
243,46.6666666667
244,53.3333333333
245,93.3333333333
246,86.6666666667
247,53.3333333333
248,73.3333333333
249,53.3333333333
250,46.6666666667
251,53.3333333333
252,53.3333333333
253,46.6666666667
254,26.6666666667
255,26.6666666667
256,53.3333333333
257,66.6666666667
258,66.6666666667
259,46.6666666667
260,73.3333333333
261,73.3333333333
262,60.0
263,53.3333333333
264,60.0
265,46.6666666667
266,26.6666666667
267,80.0
268,53.3333333333
269,26.6666666667
270,46.6666666667
271,46.6666666667
272,93.3333333333
273,53.3333333333
274,73.3333333333
275,73.3333333333
276,53.3333333333
277,46.6666666667
278,53.3333333333
279,46.6666666667
280,53.3333333333
281,53.3333333333
282,60.0
283,60.0
284,26.6666666667
285,53.3333333333
286,60.0
287,46.6666666667
288,60.0
289,53.3333333333
290,53.3333333333
291,46.6666666667
292,73.3333333333
293,80.0
294,53.3333333333
295,53.3333333333
296,46.6666666667
297,53.3333333333
298,26.6666666667
299,60.0
300,26.6666666667
301,60.0
302,26.6666666667
303,26.6666666667
304,46.6666666667
305,53.3333333333
306,53.3333333333
307,46.6666666667
308,73.3333333333
309,60.0
310,73.3333333333
311,53.3333333333
312,53.3333333333
313,66.6666666667
314,53.3333333333
315,53.3333333333
316,66.6666666667
317,46.6666666667
318,53.3333333333
319,53.3333333333
320,53.3333333333
321,46.6666666667
322,53.3333333333
323,53.3333333333
324,46.6666666667
325,53.3333333333
326,53.3333333333
327,73.3333333333
328,60.0
329,26.6666666667
330,46.6666666667
331,60.0
332,73.3333333333
333,26.6666666667
334,60.0
335,46.6666666667
336,53.3333333333
337,73.3333333333
338,80.0
339,53.3333333333
340,60.0
341,73.3333333333
342,53.3333333333
343,53.3333333333
344,73.3333333333
345,66.6666666667
346,93.3333333333
347,60.0
348,46.6666666667
349,53.3333333333
350,53.3333333333
351,53.3333333333
352,46.6666666667
353,73.3333333333
354,60.0
355,66.6666666667
356,53.3333333333
357,80.0
358,53.3333333333
359,46.6666666667
360,46.6666666667
361,46.6666666667
362,86.6666666667
363,46.6666666667
364,60.0
365,26.6666666667
366,46.6666666667
367,53.3333333333
368,26.6666666667
369,73.3333333333
370,60.0
371,53.3333333333
372,46.6666666667
373,53.3333333333
374,60.0
375,53.3333333333
376,46.6666666667
377,86.6666666667
378,46.6666666667
379,46.6666666667
380,46.6666666667
381,60.0
382,26.6666666667
383,46.6666666667
384,60.0
385,60.0
386,46.6666666667
387,53.3333333333
388,60.0
389,73.3333333333
390,46.6666666667
391,73.3333333333
392,60.0
393,60.0
394,46.6666666667
395,53.3333333333
396,26.6666666667
397,53.3333333333
398,53.3333333333
399,46.6666666667
400,53.3333333333
401,60.0
402,53.3333333333
403,46.6666666667
404,66.6666666667
405,53.3333333333
406,46.6666666667
407,60.0
408,53.3333333333
409,26.6666666667
410,26.6666666667
411,60.0
412,26.6666666667
413,53.3333333333
414,93.3333333333
415,53.3333333333
416,46.6666666667
417,66.6666666667
418,53.3333333333
419,26.6666666667
420,46.6666666667
421,73.3333333333
422,73.3333333333
423,80.0
424,53.3333333333
425,86.6666666667
426,46.6666666667
427,53.3333333333
428,53.3333333333
429,53.3333333333
430,26.6666666667
431,53.3333333333
432,60.0
433,46.6666666667
434,46.6666666667
435,46.6666666667
436,46.6666666667
437,26.6666666667
438,66.6666666667
439,86.6666666667
440,46.6666666667
441,26.6666666667
442,46.6666666667
443,26.6666666667
444,73.3333333333
445,60.0
446,46.6666666667
447,46.6666666667
448,60.0
449,60.0
450,53.3333333333
451,46.6666666667
452,26.6666666667
453,73.3333333333
454,46.6666666667
455,46.6666666667
456,53.3333333333
457,60.0
458,53.3333333333
459,53.3333333333
460,53.3333333333
461,46.6666666667
462,46.6666666667
463,46.6666666667
464,60.0
465,53.3333333333
466,46.6666666667
467,60.0
468,53.3333333333
469,73.3333333333
470,53.3333333333
471,60.0
472,53.3333333333
473,53.3333333333
474,53.3333333333
475,60.0
476,46.6666666667
477,46.6666666667
478,60.0
479,60.0
480,60.0
481,53.3333333333
482,53.3333333333
483,73.3333333333
484,60.0
485,26.6666666667
486,53.3333333333
487,46.6666666667
488,66.6666666667
489,60.0
490,73.3333333333
491,46.6666666667
492,73.3333333333
493,73.3333333333
494,46.6666666667
495,53.3333333333
496,46.6666666667
497,66.6666666667
498,26.6666666667
499,60.0
500,46.6666666667
501,53.3333333333
502,46.6666666667
503,86.6666666667
504,46.6666666667
505,60.0
506,53.3333333333
507,53.3333333333
508,46.6666666667
509,46.6666666667
510,86.6666666667
511,26.6666666667
512,73.3333333333
513,53.3333333333
514,73.3333333333
515,46.6666666667
516,46.6666666667
517,53.3333333333
518,60.0
519,26.6666666667
520,53.3333333333
521,46.6666666667
522,73.3333333333
523,60.0
524,60.0
525,46.6666666667
526,46.6666666667
527,53.3333333333
528,93.3333333333
529,53.3333333333
530,26.6666666667
531,46.6666666667
532,53.3333333333
533,46.6666666667
534,60.0
535,53.3333333333
536,86.6666666667
537,46.6666666667
538,46.6666666667
539,60.0
540,53.3333333333
541,26.6666666667
542,46.6666666667
543,46.6666666667
544,86.6666666667
545,86.6666666667
546,53.3333333333
547,53.3333333333
548,53.3333333333
549,53.3333333333
550,60.0
551,60.0
552,73.3333333333
553,53.3333333333
554,53.3333333333
555,53.3333333333
556,60.0
557,73.3333333333
558,46.6666666667
559,53.3333333333
560,46.6666666667
561,73.3333333333
562,60.0
563,53.3333333333
564,60.0
565,53.3333333333
566,46.6666666667
567,93.3333333333
568,26.6666666667
569,73.3333333333
570,60.0
571,26.6666666667
572,86.6666666667
573,66.6666666667
574,53.3333333333
575,53.3333333333
576,53.3333333333
577,53.3333333333
578,60.0
579,46.6666666667
580,53.3333333333
581,60.0
582,26.6666666667
583,60.0
584,26.6666666667
585,60.0
586,46.6666666667
587,53.3333333333
588,46.6666666667
589,53.3333333333
590,26.6666666667
591,46.6666666667
592,26.6666666667
593,53.3333333333
594,60.0
595,93.3333333333
596,66.6666666667
597,53.3333333333
598,46.6666666667
599,46.6666666667
600,53.3333333333
601,53.3333333333
602,46.6666666667
603,53.3333333333
604,53.3333333333
605,73.3333333333
606,46.6666666667
607,53.3333333333
608,46.6666666667
609,46.6666666667
610,86.6666666667
611,46.6666666667
612,46.6666666667
613,46.6666666667
614,46.6666666667
615,73.3333333333
616,46.6666666667
617,26.6666666667
618,53.3333333333
619,66.6666666667
620,26.6666666667
621,80.0
