episode, score
1,53.3333333333
2,73.3333333333
3,53.3333333333
4,53.3333333333
5,26.6666666667
6,53.3333333333
7,60.0
8,46.6666666667
9,73.3333333333
10,60.0
11,46.6666666667
12,53.3333333333
13,60.0
14,73.3333333333
15,60.0
16,46.6666666667
17,60.0
18,73.3333333333
19,46.6666666667
20,60.0
21,60.0
22,53.3333333333
23,26.6666666667
24,26.6666666667
25,53.3333333333
26,53.3333333333
27,46.6666666667
28,53.3333333333
29,46.6666666667
30,46.6666666667
31,46.6666666667
32,46.6666666667
33,66.6666666667
34,60.0
35,46.6666666667
36,86.6666666667
37,53.3333333333
38,60.0
39,53.3333333333
40,53.3333333333
41,53.3333333333
42,60.0
43,60.0
44,60.0
45,73.3333333333
46,80.0
47,73.3333333333
48,60.0
49,53.3333333333
50,86.6666666667
51,46.6666666667
52,66.6666666667
53,80.0
54,53.3333333333
55,53.3333333333
56,46.6666666667
57,46.6666666667
58,53.3333333333
59,46.6666666667
60,53.3333333333
61,26.6666666667
62,46.6666666667
63,46.6666666667
64,60.0
65,46.6666666667
66,66.6666666667
67,46.6666666667
68,46.6666666667
69,46.6666666667
70,53.3333333333
71,73.3333333333
72,46.6666666667
73,93.3333333333
74,73.3333333333
75,60.0
76,53.3333333333
77,46.6666666667
78,53.3333333333
79,53.3333333333
80,60.0
81,60.0
82,53.3333333333
83,46.6666666667
84,53.3333333333
85,46.6666666667
86,66.6666666667
87,86.6666666667
88,53.3333333333
89,73.3333333333
90,53.3333333333
91,46.6666666667
92,46.6666666667
93,53.3333333333
94,46.6666666667
95,93.3333333333
96,80.0
97,46.6666666667
98,53.3333333333
99,46.6666666667
100,73.3333333333
101,26.6666666667
102,93.3333333333
103,60.0
104,60.0
105,26.6666666667
106,66.6666666667
107,53.3333333333
108,60.0
109,53.3333333333
110,73.3333333333
111,53.3333333333
112,46.6666666667
113,60.0
114,73.3333333333
115,53.3333333333
116,60.0
117,46.6666666667
118,46.6666666667
119,46.6666666667
120,53.3333333333
121,46.6666666667
122,53.3333333333
123,46.6666666667
124,60.0
125,53.3333333333
126,46.6666666667
127,53.3333333333
128,46.6666666667
129,60.0
130,46.6666666667
131,26.6666666667
132,60.0
133,46.6666666667
134,60.0
135,60.0
136,86.6666666667
137,60.0
138,53.3333333333
139,60.0
140,53.3333333333
141,53.3333333333
142,73.3333333333
143,46.6666666667
144,80.0
145,80.0
146,53.3333333333
147,53.3333333333
148,53.3333333333
149,46.6666666667
150,73.3333333333
151,46.6666666667
152,53.3333333333
153,73.3333333333
154,60.0
155,53.3333333333
156,73.3333333333
157,53.3333333333
158,53.3333333333
159,73.3333333333
160,66.6666666667
161,66.6666666667
162,53.3333333333
163,53.3333333333
164,46.6666666667
165,73.3333333333
166,60.0
167,46.6666666667
168,46.6666666667
169,60.0
170,46.6666666667
171,53.3333333333
172,46.6666666667
173,53.3333333333
174,53.3333333333
175,46.6666666667
176,46.6666666667
177,46.6666666667
178,66.6666666667
179,46.6666666667
180,46.6666666667
181,53.3333333333
182,93.3333333333
183,53.3333333333
184,73.3333333333
185,60.0
186,53.3333333333
187,53.3333333333
188,73.3333333333
189,46.6666666667
190,60.0
191,53.3333333333
192,66.6666666667
193,53.3333333333
194,60.0
195,46.6666666667
196,86.6666666667
197,66.6666666667
198,53.3333333333
199,26.6666666667
200,53.3333333333
201,46.6666666667
202,53.3333333333
203,46.6666666667
204,46.6666666667
205,46.6666666667
206,80.0
207,46.6666666667
208,46.6666666667
209,53.3333333333
210,73.3333333333
211,26.6666666667
212,53.3333333333
213,80.0
214,60.0
215,73.3333333333
216,66.6666666667
217,46.6666666667
218,73.3333333333
219,53.3333333333
220,46.6666666667
221,46.6666666667
222,73.3333333333
223,26.6666666667
224,66.6666666667
225,46.6666666667
226,53.3333333333
227,46.6666666667
228,53.3333333333
229,93.3333333333
230,46.6666666667
231,26.6666666667
232,26.6666666667
233,73.3333333333
234,46.6666666667
235,53.3333333333
236,60.0
237,53.3333333333
238,46.6666666667
239,53.3333333333
240,26.6666666667
241,46.6666666667
242,66.6666666667
243,60.0
244,60.0
245,46.6666666667
246,73.3333333333
247,86.6666666667
248,73.3333333333
249,73.3333333333
250,60.0
251,80.0
252,60.0
253,53.3333333333
254,53.3333333333
255,66.6666666667
256,60.0
257,73.3333333333
258,53.3333333333
259,53.3333333333
260,46.6666666667
261,46.6666666667
