episode, score
1,53.3333333333
2,53.3333333333
3,46.6666666667
4,60.0
5,53.3333333333
6,46.6666666667
7,60.0
8,46.6666666667
9,46.6666666667
10,53.3333333333
11,53.3333333333
12,60.0
13,53.3333333333
14,60.0
15,46.6666666667
16,46.6666666667
17,53.3333333333
18,46.6666666667
19,46.6666666667
20,46.6666666667
21,46.6666666667
22,46.6666666667
23,60.0
24,60.0
25,46.6666666667
26,80.0
27,53.3333333333
28,60.0
29,46.6666666667
30,26.6666666667
31,60.0
32,60.0
33,46.6666666667
34,46.6666666667
35,46.6666666667
36,46.6666666667
37,53.3333333333
38,53.3333333333
39,46.6666666667
40,53.3333333333
41,60.0
42,46.6666666667
43,53.3333333333
44,73.3333333333
45,73.3333333333
46,66.6666666667
47,46.6666666667
48,53.3333333333
49,73.3333333333
50,46.6666666667
51,46.6666666667
52,46.6666666667
53,53.3333333333
54,53.3333333333
55,66.6666666667
56,60.0
57,73.3333333333
58,60.0
59,53.3333333333
60,46.6666666667
61,86.6666666667
62,46.6666666667
63,53.3333333333
64,46.6666666667
65,60.0
66,46.6666666667
67,46.6666666667
68,46.6666666667
69,60.0
70,46.6666666667
71,46.6666666667
72,46.6666666667
73,86.6666666667
74,60.0
75,46.6666666667
76,60.0
77,73.3333333333
78,53.3333333333
79,60.0
80,26.6666666667
81,53.3333333333
82,53.3333333333
83,93.3333333333
84,53.3333333333
85,46.6666666667
86,53.3333333333
87,26.6666666667
88,66.6666666667
89,46.6666666667
90,66.6666666667
91,53.3333333333
92,53.3333333333
93,46.6666666667
94,46.6666666667
95,80.0
96,46.6666666667
97,73.3333333333
98,26.6666666667
99,46.6666666667
100,46.6666666667
101,26.6666666667
102,46.6666666667
103,46.6666666667
104,53.3333333333
105,60.0
106,73.3333333333
107,46.6666666667
108,60.0
109,53.3333333333
110,53.3333333333
111,53.3333333333
112,46.6666666667
113,26.6666666667
114,46.6666666667
115,26.6666666667
116,53.3333333333
117,73.3333333333
118,46.6666666667
119,86.6666666667
120,46.6666666667
121,46.6666666667
122,53.3333333333
123,66.6666666667
124,53.3333333333
125,73.3333333333
126,46.6666666667
127,53.3333333333
128,73.3333333333
129,46.6666666667
130,53.3333333333
131,46.6666666667
132,53.3333333333
133,60.0
134,53.3333333333
135,26.6666666667
136,26.6666666667
137,26.6666666667
138,60.0
139,73.3333333333
140,53.3333333333
141,93.3333333333
142,46.6666666667
143,66.6666666667
144,53.3333333333
145,46.6666666667
146,46.6666666667
147,53.3333333333
148,53.3333333333
149,53.3333333333
150,53.3333333333
151,53.3333333333
152,73.3333333333
153,66.6666666667
154,53.3333333333
155,26.6666666667
156,66.6666666667
157,46.6666666667
158,73.3333333333
159,46.6666666667
160,26.6666666667
161,53.3333333333
162,93.3333333333
163,53.3333333333
164,46.6666666667
165,46.6666666667
166,46.6666666667
167,73.3333333333
168,86.6666666667
169,66.6666666667
170,46.6666666667
171,60.0
172,66.6666666667
173,46.6666666667
174,53.3333333333
175,60.0
176,53.3333333333
177,60.0
178,80.0
179,26.6666666667
180,73.3333333333
181,60.0
182,53.3333333333
183,73.3333333333
184,53.3333333333
185,73.3333333333
186,60.0
187,53.3333333333
188,66.6666666667
189,60.0
190,46.6666666667
191,46.6666666667
192,46.6666666667
193,46.6666666667
194,60.0
195,86.6666666667
196,53.3333333333
197,26.6666666667
198,60.0
199,66.6666666667
200,60.0
201,26.6666666667
202,73.3333333333
203,46.6666666667
204,53.3333333333
205,46.6666666667
206,53.3333333333
207,53.3333333333
208,80.0
209,66.6666666667
210,46.6666666667
211,53.3333333333
212,86.6666666667
213,26.6666666667
214,46.6666666667
215,60.0
216,73.3333333333
217,53.3333333333
218,53.3333333333
219,53.3333333333
220,60.0
221,60.0
222,26.6666666667
223,46.6666666667
224,53.3333333333
225,53.3333333333
226,46.6666666667
227,26.6666666667
228,46.6666666667
229,46.6666666667
230,26.6666666667
231,60.0
232,66.6666666667
233,26.6666666667
234,80.0
235,60.0
236,60.0
237,53.3333333333
238,73.3333333333
239,46.6666666667
240,73.3333333333
241,53.3333333333
242,66.6666666667
243,46.6666666667
244,46.6666666667
245,86.6666666667
246,53.3333333333
247,53.3333333333
248,73.3333333333
249,53.3333333333
250,60.0
251,53.3333333333
252,73.3333333333
253,46.6666666667
254,80.0
255,86.6666666667
256,53.3333333333
257,86.6666666667
258,26.6666666667
259,60.0
260,93.3333333333
261,66.6666666667
262,53.3333333333
263,60.0
264,60.0
265,53.3333333333
266,86.6666666667
267,46.6666666667
268,60.0
269,73.3333333333
270,86.6666666667
271,60.0
272,53.3333333333
273,46.6666666667
274,46.6666666667
275,26.6666666667
276,26.6666666667
277,46.6666666667
278,53.3333333333
279,53.3333333333
280,60.0
281,26.6666666667
282,53.3333333333
283,26.6666666667
284,46.6666666667
285,53.3333333333
286,46.6666666667
287,26.6666666667
288,60.0
289,60.0
290,26.6666666667
291,53.3333333333
292,46.6666666667
293,60.0
294,53.3333333333
295,46.6666666667
296,60.0
297,46.6666666667
298,46.6666666667
299,66.6666666667
300,46.6666666667
301,46.6666666667
302,26.6666666667
303,60.0
304,26.6666666667
305,86.6666666667
306,46.6666666667
307,53.3333333333
308,60.0
309,60.0
310,60.0
311,73.3333333333
312,46.6666666667
313,66.6666666667
314,66.6666666667
315,86.6666666667
316,46.6666666667
317,53.3333333333
318,60.0
319,60.0
320,46.6666666667
321,26.6666666667
322,60.0
323,53.3333333333
324,46.6666666667
325,73.3333333333
326,60.0
327,66.6666666667
328,46.6666666667
329,53.3333333333
330,46.6666666667
331,53.3333333333
332,60.0
333,53.3333333333
334,26.6666666667
335,53.3333333333
336,53.3333333333
337,53.3333333333
338,60.0
339,53.3333333333
340,53.3333333333
341,73.3333333333
342,93.3333333333
343,73.3333333333
344,93.3333333333
345,53.3333333333
346,46.6666666667
347,53.3333333333
348,53.3333333333
349,60.0
350,53.3333333333
351,26.6666666667
352,60.0
353,46.6666666667
354,60.0
355,46.6666666667
356,60.0
357,60.0
358,60.0
359,73.3333333333
360,26.6666666667
361,53.3333333333
362,73.3333333333
363,86.6666666667
364,53.3333333333
365,66.6666666667
366,60.0
367,46.6666666667
368,53.3333333333
369,53.3333333333
370,26.6666666667
371,53.3333333333
372,46.6666666667
373,93.3333333333
374,73.3333333333
375,66.6666666667
376,46.6666666667
377,53.3333333333
378,66.6666666667
379,60.0
380,46.6666666667
381,60.0
382,53.3333333333
383,73.3333333333
384,46.6666666667
385,46.6666666667
386,46.6666666667
387,46.6666666667
388,60.0
389,53.3333333333
390,46.6666666667
391,46.6666666667
392,46.6666666667
393,46.6666666667
394,53.3333333333
395,86.6666666667
396,26.6666666667
397,53.3333333333
398,26.6666666667
399,53.3333333333
400,46.6666666667
401,73.3333333333
402,46.6666666667
403,73.3333333333
404,53.3333333333
405,73.3333333333
406,93.3333333333
407,60.0
408,66.6666666667
409,26.6666666667
410,53.3333333333
411,26.6666666667
412,73.3333333333
413,53.3333333333
414,26.6666666667
415,53.3333333333
416,60.0
417,60.0
418,73.3333333333
419,46.6666666667
420,60.0
421,46.6666666667
422,53.3333333333
423,53.3333333333
424,60.0
425,46.6666666667
426,53.3333333333
427,53.3333333333
428,60.0
429,53.3333333333
430,46.6666666667
431,53.3333333333
432,53.3333333333
433,46.6666666667
434,53.3333333333
435,26.6666666667
436,26.6666666667
437,73.3333333333
438,60.0
439,86.6666666667
440,26.6666666667
441,53.3333333333
442,46.6666666667
443,73.3333333333
444,26.6666666667
445,53.3333333333
446,53.3333333333
447,60.0
448,66.6666666667
449,53.3333333333
450,46.6666666667
451,53.3333333333
452,53.3333333333
453,26.6666666667
454,46.6666666667
455,73.3333333333
456,53.3333333333
457,26.6666666667
458,46.6666666667
459,46.6666666667
460,53.3333333333
461,53.3333333333
462,60.0
463,26.6666666667
464,53.3333333333
465,53.3333333333
466,73.3333333333
467,53.3333333333
468,53.3333333333
469,53.3333333333
470,60.0
471,60.0
472,46.6666666667
473,60.0
474,53.3333333333
475,60.0
476,53.3333333333
477,86.6666666667
478,73.3333333333
479,73.3333333333
480,53.3333333333
481,53.3333333333
482,66.6666666667
483,53.3333333333
484,60.0
485,46.6666666667
486,53.3333333333
487,60.0
488,60.0
489,46.6666666667
490,60.0
491,80.0
492,93.3333333333
493,60.0
494,60.0
495,60.0
496,53.3333333333
497,46.6666666667
498,46.6666666667
499,53.3333333333
500,66.6666666667
501,60.0
502,86.6666666667
503,53.3333333333
504,53.3333333333
505,53.3333333333
506,73.3333333333
507,53.3333333333
508,46.6666666667
509,53.3333333333
510,53.3333333333
511,60.0
512,73.3333333333
513,46.6666666667
514,86.6666666667
515,53.3333333333
516,73.3333333333
517,80.0
518,26.6666666667
519,53.3333333333
520,66.6666666667
521,60.0
522,53.3333333333
523,53.3333333333
524,60.0
525,46.6666666667
526,60.0
527,26.6666666667
528,46.6666666667
529,60.0
530,53.3333333333
531,53.3333333333
532,53.3333333333
533,66.6666666667
534,60.0
535,53.3333333333
536,73.3333333333
537,60.0
538,73.3333333333
539,53.3333333333
540,80.0
541,53.3333333333
542,46.6666666667
543,46.6666666667
544,26.6666666667
545,53.3333333333
546,60.0
547,60.0
548,53.3333333333
549,26.6666666667
550,46.6666666667
551,73.3333333333
552,46.6666666667
553,73.3333333333
554,66.6666666667
555,53.3333333333
556,53.3333333333
557,53.3333333333
558,66.6666666667
559,60.0
560,53.3333333333
561,60.0
562,53.3333333333
563,60.0
564,46.6666666667
565,60.0
566,60.0
567,46.6666666667
568,53.3333333333
569,46.6666666667
570,53.3333333333
571,53.3333333333
572,46.6666666667
573,60.0
574,73.3333333333
575,53.3333333333
576,26.6666666667
577,46.6666666667
578,60.0
579,66.6666666667
580,60.0
581,66.6666666667
582,60.0
583,26.6666666667
584,46.6666666667
585,60.0
586,73.3333333333
587,66.6666666667
588,86.6666666667
589,80.0
590,46.6666666667
591,53.3333333333
592,53.3333333333
593,46.6666666667
594,60.0
595,53.3333333333
596,53.3333333333
597,60.0
598,53.3333333333
599,53.3333333333
600,53.3333333333
601,60.0
602,60.0
603,53.3333333333
604,46.6666666667
605,73.3333333333
606,46.6666666667
607,73.3333333333
608,53.3333333333
609,73.3333333333
610,46.6666666667
611,53.3333333333
612,53.3333333333
613,73.3333333333
614,46.6666666667
615,46.6666666667
616,73.3333333333
617,46.6666666667
618,26.6666666667
619,46.6666666667
620,46.6666666667
621,53.3333333333
622,53.3333333333
623,53.3333333333
624,66.6666666667
